epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_auc,trn_auc_class0,trn_auc_class1,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_auc,val_auc_class0,val_auc_class1,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_es_sensitivity,val_es_specificity,val_f1,val_loss,val_sensitivity,val_sensitivity_class0,val_sensitivity_class1,val_specificity,val_specificity_class0,val_specificity_class1,val_wgd_auc,val_wgd_f1
0,0.9095,0.9107,0.8767,0.9494,0.9514,0.8861,0.0172,0,0,0,0.4495,0.94,0.9402,0.9333,0.9577,0.9578,0.9572,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0006
1,0.9339,0.936,0.8767,0.9715,0.9731,0.9255,0.0,0,0,0,0.2953,0.94,0.9402,0.9333,0.965,0.965,0.965,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.7117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006
2,0.9334,0.9355,0.875,0.9808,0.9817,0.9569,0.0,0,0,0,0.2618,0.94,0.9402,0.9333,0.9676,0.968,0.96,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.9316,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0006
3,0.933,0.935,0.8767,0.9879,0.988,0.9816,0.0,0,0,0,0.2238,0.94,0.9402,0.9333,0.9634,0.9626,0.9828,0.0,0,0,0,0.0,0,0.0,0.0,0.323,1.2249,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0006
4,0.933,0.935,0.8767,0.991,0.9912,0.9825,0.0,0,0,0,0.2069,0.94,0.9402,0.9333,0.965,0.9647,0.9753,0.0,0,0,0,0.0,0,0.0,0.0,0.323,1.8337,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0006
5,0.9339,0.936,0.8767,0.9952,0.9954,0.9883,0.0003,0,0,0,0.1385,0.94,0.9402,0.9333,0.9656,0.9654,0.9708,0.0,0,0,0,0.0,0,0.0,0.0,0.323,1.6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0006
6,0.9344,0.9365,0.875,0.9961,0.9963,0.9888,0.0017,0,0,0,0.1194,0.9378,0.9391,0.9,0.9675,0.9678,0.9622,0.0437,0,0,0,0.0,0,0.0,0.0,0.3228,0.5552,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0007
7,0.9497,0.9509,0.9178,0.9971,0.9973,0.9908,0.0278,0,0,0,0.0973,0.9322,0.9345,0.8667,0.97,0.9704,0.9539,0.0605,0,0,0,0.0,0,0.0,0.0,0.3391,0.6578,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0131
8,0.965,0.9663,0.9315,0.9979,0.9981,0.9919,0.0315,0,0,0,0.0954,0.9144,0.9172,0.8333,0.9661,0.9665,0.9539,0.0644,0,0,0,0.0,0,0.0,0.0,0.371,0.5912,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0335
9,0.9646,0.9658,0.9315,0.998,0.9981,0.9934,0.0455,0,0,0,0.0945,0.9356,0.9368,0.9,0.966,0.9659,0.9642,0.0199,0,0,0,0.0,0,0.0,0.0,0.3222,2.0763,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0033
